hostName,targetPestGroupID,hostTaxonIRI
Apocynaceae,tpg-8,https://uat-ag-bie.oztaxa.com/ws/taxon/70619
Betulaceae,tpg-11,https://uat-ag-bie.oztaxa.com/ws/taxon/82476
Citrus,tpg-4,https://uat-ag-bie.oztaxa.com/ws/taxon/82423
Convolvulaceae,tpg-8,https://uat-ag-bie.oztaxa.com/ws/taxon/65223
Fortunella,tpg-4,https://uat-ag-bie.oztaxa.com/ws/taxon/82593
Monochamus,tpg-12,https://uat-ag-bie.oztaxa.com/ws/taxon/69671
Pinaceae,tpg-11,https://uat-ag-bie.oztaxa.com/ws/taxon/82854
Pinaceae ,tpg-12,https://uat-ag-bie.oztaxa.com/ws/taxon/82854
Plantae,tpg-1,https://uat-ag-bie.oztaxa.com/ws/taxon/20
Plantae,tpg-13,https://uat-ag-bie.oztaxa.com/ws/taxon/20
Plantae,tpg-14,https://uat-ag-bie.oztaxa.com/ws/taxon/20
Plantae,tpg-15,https://uat-ag-bie.oztaxa.com/ws/taxon/20
Plantae,tpg-16,https://uat-ag-bie.oztaxa.com/ws/taxon/20
Plantae,tpg-2,https://uat-ag-bie.oztaxa.com/ws/taxon/20
Plantae,tpg-3,https://uat-ag-bie.oztaxa.com/ws/taxon/20
Plantae,tpg-5,https://uat-ag-bie.oztaxa.com/ws/taxon/20
Plantae,tpg-6,https://uat-ag-bie.oztaxa.com/ws/taxon/20
Rosaceae,tpg-5,https://uat-ag-bie.oztaxa.com/ws/taxon/82145
Rutaceae,tpg-4,https://uat-ag-bie.oztaxa.com/ws/taxon/68687
Rutaceae,tpg-8,https://uat-ag-bie.oztaxa.com/ws/taxon/68687
Solanaceae,tpg-8,https://uat-ag-bie.oztaxa.com/ws/taxon/67176
