inspectionMethodName,targetPestGroupID
Beating tray,tpg-14
Beating tray,tpg-3
Brush and vacuum,tpg-10
Isolation from vector,tpg-12
Sweep netting,tpg-10
Sweep netting,tpg-14
Sweep netting,tpg-3
Tissue sampling,tpg-12
Trapping,tpg-10
Trapping,tpg-11
Trapping,tpg-14
Trapping,tpg-15
Trapping,tpg-16
Trapping,tpg-2
Trapping,tpg-3
Trapping,tpg-6
Trapping,tpg-7
Visual,tpg-1
Visual,tpg-10
Visual,tpg-11
Visual,tpg-12
Visual,tpg-13
Visual,tpg-14
Visual,tpg-15
Visual,tpg-16
Visual,tpg-2
Visual,tpg-3
Visual,tpg-4
Visual,tpg-5
Visual,tpg-6
Visual,tpg-7
Visual,tpg-9
Visual,tpg-8
