trapName,targetPestGroupID
Ant refuge trap – vial,tpg-15
Bucket trap,tpg-2
Clear sticky trap,tpg-6
Clear sticky trap,tpg-3
Cross vane panel trap,tpg-11
Delta trap,tpg-2
Dome trap,tpg-10
Heliothis mesh net trap,tpg-2
Homemade trap,tpg-2
Lynfield trap,tpg-7
Patton trap,tpg-7
Snail refuge trap – Besser blocks,tpg-16
Snail refuge trap – Polystyrene,tpg-16
Snail refuge trap – Tile,tpg-16
Steiner trap,tpg-7
Tall black pyramid trap,tpg-3
Tall black pyramid trap,tpg-6
Wall trap,tpg-10
Yellow sticky trap,tpg-3
Yellow sticky trap,tpg-6
Yellow sticky trap,tpg-9
Yellow sticky trap,tpg-14
